month;type;pipelineId;scope;dealId;dealTitle;organization;value;fullValue;typeCount;allocationSharePct;allocationSource;labels;isMultiBusinessType
2025-10;LDC - Laudo de disponibilidade de carga;11;consultoria;1129;Negócio Paraíso Eco Resort Campina Grande;Paraíso Eco Resort Campina Grande;31350;31350;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-09;OBRA;14;obras;1130;Negócio Edf Casa Rosada;Edf Manoella Vilaça;16493.98;16493.98;1;100;equal_label_split;OBRA;false
2025-09;LDC - Laudo de disponibilidade de carga;11;consultoria;1134;Edf Luar da Praia;Edf Luar da Praia;12420;12420;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-09;LIE - Laudo de Instalações Elétricas;11;consultoria;1136;Negócio Edf PARADOR DE GALICIA;Edf PARADOR DE GALICIA;5500;5500;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-08;ICV - Inspeção de carregador veicular;11;consultoria;1139;Negócio condomínio Residencial Estrela Sirius e Antares;condomínio Residencial Estrela;1300;1300;1;100;equal_label_split;ICV - Inspeção de carregador veicular;false
2025-08;ICV - Inspeção de carregador veicular;11;consultoria;1140;Negócio Edf Praça do Mar;Edf Praça do Mar;1600;1600;1;100;equal_label_split;ICV - Inspeção de carregador veicular;false
2025-09;PROJETOS;11;consultoria;1141;Negócio Edf MIllennium;Edf MIllennium;5000;5000;1;100;equal_label_split;PROJETOS;false
2025-09;LIE - Laudo de Instalações Elétricas;11;consultoria;1142;Edf Castelo de Blois negócio;Edf Castelo de Blois;6000;6000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2026-02;LDC - Laudo de disponibilidade de carga;11;consultoria;1152;Negócio Edificio Le Parc;Edificio Le Parc;102000;102000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2026-01;PROJETOS;11;consultoria;1156;Negócio Edf Itaqua Vilage;Edf Itaqua Vilage;6000;6000;1;100;equal_label_split;PROJETOS;false
2025-11;LIE - Laudo de Instalações Elétricas;11;consultoria;1162;Negócio Edf Maria Regina;Edf Maria Regina;5500;11000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1162;Negócio Edf Maria Regina;Edf Maria Regina;5500;11000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-05;LIE - Laudo de Instalações Elétricas;11;consultoria;1163;Negócio Edf Palácio de Queluz;Edf Palácio de Queluz;6250;12500;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-05;LDC - Laudo de disponibilidade de carga;11;consultoria;1163;Negócio Edf Palácio de Queluz;Edf Palácio de Queluz;6250;12500;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-10;LIE - Laudo de Instalações Elétricas;11;consultoria;1172;Negócio edifício Morada das Palmeiras;edifício Morada das Palmeiras;6800;6800;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-10;LDC - Laudo de disponibilidade de carga;11;consultoria;1179;Negócio Edf Madalena Colonial;Edf Madalena Colonial;8300;8300;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-10;LDC - Laudo de disponibilidade de carga;11;consultoria;1180;Negócio Edf Reserva do Poço;Edf Reserva do Poço;6500;13000;2;50;equal_label_split;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-10;ICV - Inspeção de carregador veicular;11;consultoria;1180;Negócio Edf Reserva do Poço;Edf Reserva do Poço;6500;13000;2;50;equal_label_split;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-09;PIE - Projeto infra.  Eletrocalha e Emergência;11;consultoria;1183;Edf Luis dias lins negócio;Edf Luis dias lins;4000;4000;1;100;equal_label_split;PIE - Projeto infra.  Eletrocalha e Emergência;false
2025-09;LDC - Laudo de disponibilidade de carga;11;consultoria;1184;Negócio Edf Cristiano;Edf Cristiano;2600;2600;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-11;PIE - Projeto infra.  Eletrocalha e Emergência;11;consultoria;1188;Edf Terra Brasilis;Edf Terra Brasilis;9000;9000;1;100;equal_label_split;PIE - Projeto infra.  Eletrocalha e Emergência;false
2025-12;LDC - Laudo de disponibilidade de carga;11;consultoria;1191;Edf Novo Jardim;Edf Novo Jardim;9900;9900;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2026-01;LIE - Laudo de Instalações Elétricas;11;consultoria;1195;Edf Roraima;Edf nao informado;5000;5000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1202;Edf. Cap d'Antibes;Edf. Cap d'Antibes;7700;7700;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-10;LDC - Laudo de disponibilidade de carga;11;consultoria;1204;Edf Principe de Toscana;Edf Principe de Toscana;2000;2000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-11;OBRA;14;obras;1206;Edf Terra Brasilis;Edf Terra Brasilis;9700;9700;1;100;equal_label_split;OBRA;false
2025-11;LIE - Laudo de Instalações Elétricas;11;consultoria;1211;Edf Porto dos Corais;Edf Porto dos Corais;4500;4500;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2026-06;OBRA;14;obras;1219;Edf FICUS negócio;Edf FICUS;17250;17250;1;100;equal_label_split;OBRA;false
2025-12;Obras eletricas;14;obras;1220;Edf Maria Carolina negócio;Edf Maria Carolina;19440;19440;1;100;equal_label_split;Obras eletricas;false
2025-12;OBRA;14;obras;1221;Cond. Montendre;Cond. Montendre;33649.29;33649.29;1;100;equal_label_split;OBRA;false
2025-10;PIE - Projeto infra.  Eletrocalha e Emergência;11;consultoria;1225;Edf Cristiano;Edf Cristiano;4500;4500;1;100;equal_label_split;PIE - Projeto infra.  Eletrocalha e Emergência;false
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1231;Edf Muçambê;Edf Muçambê;7800;7800;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2025-10;OBRA;14;obras;1232;Edf Cristiano;Edf Cristiano;20000;20000;1;100;equal_label_split;OBRA;false
2025-11;LIE - Laudo de Instalações Elétricas;11;consultoria;1236;Conjunto Portinari;Conjunto Portinari;6000;6000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1238;Geraldo Posto Geração;Geraldo Posto Geração;4000;4000;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2026-04;LIE - Laudo de Instalações Elétricas;11;consultoria;1245;Edf Ilha de Millos;Edf Ilha de Millos;6700;6700;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-12;LIE - Laudo de Instalações Elétricas;11;consultoria;1246;Edf Rio Siriji;Edf Rio Siriji;7000;7000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2026-03;LIE - Laudo de Instalações Elétricas;11;consultoria;1251;Edf Sitio Beira Rio;Edf Sitio Beira Rio;7500;15000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-03;LDC - Laudo de disponibilidade de carga;11;consultoria;1251;Edf Sitio Beira Rio;Edf Sitio Beira Rio;7500;15000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-02;LIE - Laudo de Instalações Elétricas;11;consultoria;1254;Empresarial Praia Guarapari;Empresarial Praia Guarapari;7000;7000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-12;LIE - Laudo de Instalações Elétricas;11;consultoria;1257;Edf Portal do Parnamirim;Edf Portal do Parnamirim;4400;8800;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-12;LDC - Laudo de disponibilidade de carga;11;consultoria;1257;Edf Portal do Parnamirim;Edf Portal do Parnamirim;4400;8800;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-02;LIE - Laudo de Instalações Elétricas;11;consultoria;1261;Edifício Ferreira da Costa;Edifício Ferreira da Costa;6000;6000;1;100;equal_label_split;LIE - Laudo de Instalações Elétricas;false
2025-11;LDC - Laudo de disponibilidade de carga;11;consultoria;1262;Edf Quinta Tereza Beltrão;Edf Quinta Tereza Beltrão;7560;7560;1;100;equal_label_split;LDC - Laudo de disponibilidade de carga;false
2026-07;LIE - Laudo de Instalações Elétricas;11;consultoria;1266;Edf Maria Tereza negócio;Edf Maria Tereza;4000;8000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LCC - Laudo Carregador Coletivo";true
2026-07;LCC - Laudo Carregador Coletivo;11;consultoria;1266;Edf Maria Tereza negócio;Edf Maria Tereza;4000;8000;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LCC - Laudo Carregador Coletivo";true
2025-12;Obras eletricas;14;obras;1296;Edf Luar das Ubaias;Edf Luar das Ubaias;19700;19700;1;100;equal_label_split;Obras eletricas;false
2026-01;LIE - Laudo de Instalações Elétricas;11;consultoria;1300;Edf.Maria Nice negócio;Edf.Maria Nice;5175;10350;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-01;LDC - Laudo de disponibilidade de carga;11;consultoria;1300;Edf.Maria Nice negócio;Edf.Maria Nice;5175;10350;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-12;PROJETOS;11;consultoria;1301;Edf Carla Dias;Edf Carla Dias;5000;5000;1;100;equal_label_split;PROJETOS;false
2026-01;LIE - Laudo de Instalações Elétricas;11;consultoria;1308;Câmara de Vereadores de Recife;Câmara de Vereadores de Recife;7225;14450;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-01;LDC - Laudo de disponibilidade de carga;11;consultoria;1308;Câmara de Vereadores de Recife;Câmara de Vereadores de Recife;7225;14450;2;50;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-03;LIE - Laudo de Instalações Elétricas;11;consultoria;1314;Edf Maria Leopoldina;Edf Maria Leopoldina;4166.666666666667;12500;3;33.333333333333336;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2026-03;LDC - Laudo de disponibilidade de carga;11;consultoria;1314;Edf Maria Leopoldina;Edf Maria Leopoldina;4166.666666666667;12500;3;33.333333333333336;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2026-03;ICV - Inspeção de carregador veicular;11;consultoria;1314;Edf Maria Leopoldina;Edf Maria Leopoldina;4166.666666666667;12500;3;33.333333333333336;equal_label_split;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
