month;scope;type;wonDeals;revenue;averageTicket
2026-03;obras;ICV - Inspeção de carregador veicular;1;1400;1400
2026-04;consultoria;LDC - Laudo de disponibilidade de carga;8;64500;8062.5
2026-04;consultoria;LIE - Laudo de Instalações Elétricas;5;26050;5210
2026-04;consultoria;PROJETOS;1;8000;8000
2026-04;consultoria;ICV - Inspeção de carregador veicular;1;4200;4200
2026-04;consultoria;LGR - Laudo de Gerenciamento de Risco;1;1350;1350
2026-04;obras;OBRA;2;51500;25750
2026-05;consultoria;LDC - Laudo de disponibilidade de carga;8;57550;7193.75
2026-05;consultoria;LIE - Laudo de Instalações Elétricas;4;24250;6062.5
2026-05;consultoria;PROJETOS;3;20000;6666.666666666667
2026-05;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;2;12500;6250
2026-05;consultoria;ICV - Inspeção de carregador veicular;2;10000;5000
2026-05;consultoria;LCC - Laudo Carregador Coletivo;1;6500;6500
2026-06;consultoria;LDC - Laudo de disponibilidade de carga;8;53300;6662.5
2026-06;consultoria;LIE - Laudo de Instalações Elétricas;5;39100;7820
2026-06;consultoria;ICV - Inspeção de carregador veicular;4;26220;6555
2026-06;consultoria;PROJETOS;2;12000;6000
2026-06;consultoria;LGR - Laudo de Gerenciamento de Risco;2;9000;4500
2026-06;consultoria;LCC - Laudo Carregador Coletivo;2;8300;4150
2026-06;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;1;4600;4600
2026-06;obras;OBRA;8;180690;22586.25
2026-07;consultoria;LDC - Laudo de disponibilidade de carga;3;21400;7133.333333333333
2026-07;consultoria;LIE - Laudo de Instalações Elétricas;2;14000;7000
2026-07;consultoria;PROJETOS;2;11000;5500
2026-07;consultoria;ICV - Inspeção de carregador veicular;1;2500;2500
2026-07;obras;OBRA;4;82099.98;20524.995
