month;type;dealId;dealTitle;organization;value;labels;isMultiBusinessType
2026-06;LDC - Laudo de disponibilidade de carga;1507;Cond. The Plaza;Cond. The Plaza;2700;LDC - Laudo de disponibilidade de carga;false
2026-03;PROJETOS;1514;Edf Sobrado do Capibaribe;Edf Sobrado do Capibaribe;5000;PROJETOS;false
2026-04;LDC - Laudo de disponibilidade de carga;1522;Condomínio Carmen Costa;Condomínio Carmen Costa;7000;LDC - Laudo de disponibilidade de carga;false
2026-04;PIE - Projeto infra.  Eletrocalha e Emergência;1532;Edf Hilson Macedo;Edf Hilson Macedo;5000;PIE - Projeto infra.  Eletrocalha e Emergência;false
2026-05;LDC - Laudo de disponibilidade de carga;1544;Edf. Príncipe de Navarra;Edf. Príncipe de Navarra;6000;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2026-04;LDC - Laudo de disponibilidade de carga;1561;Edifício Lá Maison;Edifício Lá Maison;6500;LDC - Laudo de disponibilidade de carga;false
2026-05;LIE - Laudo de Instalações Elétricas;1563;EDF VILLA CLÁUDIA;EDF VILLA CLÁUDIA;5000;LIE - Laudo de Instalações Elétricas;false
2026-05;PIE - Projeto infra.  Eletrocalha e Emergência;1566;EDIFICIOS MARIA JULIA E MARIA DA GRACA;EDIFICIOS MARIA JULIA E MARIA DA GRACA;19500;"LIE - Laudo de Instalações Elétricas, LCC - Laudo Carregador Coletivo, PIE - Projeto infra.  Eletrocalha e Emergência";true
2026-04;LDC - Laudo de disponibilidade de carga;1579;Edf Sagarana;Edf Sagarana;12000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-05;LDC - Laudo de disponibilidade de carga;1600;Jardim do Mar;Jardim do Mar;14000;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2026-04;PROJETOS;1601;Edf Turmalina;Edf Turmalina;8000;PROJETOS;false
2026-04;CDM;1609;Edf Madalena Colonial;Edf Madalena Colonial;45000;CDM;false
2026-04;LDC - Laudo de disponibilidade de carga;1617;Edf Miriam Dubeux;Edf Miriam Dubeux;5500;LDC - Laudo de disponibilidade de carga;false
2026-05;PROJETOS;1620;Edf Cidade do Recife;Edf Cidade do Recife;5000;PROJETOS;false
2026-05;LDC - Laudo de disponibilidade de carga;1643;EMPRESARIAL. CASA FORTE;EMPRESARIAL. CASA FORTE;9000;LDC - Laudo de disponibilidade de carga;false
2026-06;LDC - Laudo de disponibilidade de carga;1655;Edf. Cine Torre;Edf. Cine Torre;7800;LDC - Laudo de disponibilidade de carga;false
2026-05;LDC - Laudo de disponibilidade de carga;1663;Edf TAMARINEIRA PRINCE VANGARD;Edf TAMARINEIRA PRINCE VANGARD;8500;LDC - Laudo de disponibilidade de carga;false
2026-05;PROJETOS;1666;Rotterdam negócio;Rotterdam;5000;PROJETOS;false
2026-05;PIE - Projeto infra.  Eletrocalha e Emergência;1672;Condominio do Edificio Lucilo Maranhao;Condominio do Edificio Lucilo Maranhao;6000;PIE - Projeto infra.  Eletrocalha e Emergência;false
2026-06;OBRA;1718;Rio Araguaia melhoria elétrica;Sindico Profi;950;OBRA;false
2026-06;ICV - Inspeção de carregador veicular;1774;Condomínio Carmen Costa;Condomínio Carmen Costa;9200;ICV - Inspeção de carregador veicular;false
